time,x1,x2,theta1,theta2,theta3,theta4,xi1,xi2,YF1,YF2,YF3,YF4,YF5,YF6,YF7,YF8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.01,0.05,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,
0.02,0.097625,0.0075,-0.002375,0,0,0,90.25,0,0.0025,0,0,0,0,0,0.05,0,
0.03,0.143971,0.0219302,-0.0109746,-0.00676662,0.00148219,5.49141e-06,85.7256,-0.7125,0.00953064,0.00749993,0,0,0,0.00014999,0.097625,0.000732187,
0.04,0.190005,0.0431244,-0.0286939,-0.0255007,0.00827985,9.64098e-05,81.3224,-2.08316,0.0207275,0.0219284,0,0,0,0.000657807,0.143971,0.0031573,
0.05,0.236642,0.0712648,-0.0577778,-0.0601517,0.0265281,0.000612129,76.9474,-4.09529,0.0361019,0.043111,0,0,0,0.00172452,0.190005,0.00819385,
0.06,0.284806,0.106866,-0.0999214,-0.113422,0.0649349,0.00247207,72.5115,-6.76409,0.0559996,0.0712045,0,0,0,0.00356176,0.236642,0.0168643,
0.07,0.33549,0.150793,-0.1562,-0.186476,0.135355,0.00769914,67.9232,-10.1345,0.0811143,0.106663,0,0,0,0.00640813,0.284806,0.0304361,
0.08,0.389821,0.204311,-0.226803,-0.27831,0.253706,0.0202809,63.0829,-14.2815,0.112553,0.150223,0,0,0,0.0105469,0.33549,0.0505896,
0.09,0.449126,0.269171,-0.310492,-0.384641,0.441331,0.0476096,57.8761,-19.3136,0.15196,0.202893,0,0,0,0.0163275,0.389821,0.0796449,
0.1,0.514998,0.347732,-0.403614,-0.496122,0.726963,0.102929,52.1681,-25.3766,0.201715,0.265932,0,0,0,0.0241927,0.449126,0.120892,
0.11,0.589347,0.443127,-0.498366,-0.595564,1.14953,0.209544,45.799,-32.659,0.265223,0.340767,0,0,0,0.0347153,0.514998,0.179082,
0.12,0.674408,0.559437,-0.57983,-0.653794,1.76204,0.408138,38.5835,-41.3939,0.34733,0.428767,0,0,0,0.0486458,0.589347,0.261156,
0.13,0.772607,0.701796,-0.621056,-0.623874,2.6368,0.76948,30.3206,-51.848,0.454826,0.530709,0,0,0,0.0669714,0.674408,0.377288,
0.14,0.886116,0.87616,-0.575369,-0.434147,3.87126,1.41604,20.8289,-64.2729,0.596921,0.64559,0,0,0,0.0909767,0.772607,0.542212,
0.15,1.01575,1.088,-0.365926,0.0169562,5.59174,2.55621,10.0336,-78.7585,0.785202,0.768287,0,0,0,0.122262,0.886116,0.77638,
0.16,1.15875,1.33818,0.123417,0.855059,7.94467,4.52789,-1.859,-94.8529,1.03175,0.885702,0,0,0,0.162589,1.01575,1.10514,
0.17,1.30527,1.61243,1.03977,2.19169,11.0464,7.81106,-14.0833,-110.718,1.3427,0.973066,0,0,0,0.213196,1.15875,1.55061,
0.18,1.4355,1.86125,2.49685,4.0241,14.828,12.8495,-25.0398,-121.725,1.70374,0.999133,0,0,0,0.272795,1.30527,2.10467,
0.19,1.52256,1.98162,4.41447,6.07949,18.7086,19.3191,-32.3716,-119.861,2.06066,0.958113,0,0,0,0.33322,1.4355,2.67183,
0.2,1.54595,1.86129,6.34694,7.74836,21.3126,24.858,-33.836,-99.2056,2.31819,0.916791,0,0,0,0.374247,1.52256,3.01714,
0.21,1.50803,1.53918,7.6305,8.41395,21.2862,25.8911,-29.2725,-69.4815,2.38996,0.958102,0,0,0,0.369782,1.54595,2.87746,
0.22,1.43866,1.23577,7.97632,8.18327,19.5481,23.0784,-22.5004,-51.3252,2.27416,0.9995,0,0,0,0.320857,1.50803,2.32113,
0.23,1.37228,1.05872,7.74828,7.80526,18.5001,20.8898,-17.4356,-46.0381,2.06975,0.944401,0,0,0,0.269681,1.43866,1.77785,
0.24,1.32105,0.950122,7.39735,7.58013,18.3585,20.0777,-13.9716,-42.957,1.88316,0.871729,0,0,0,0.241364,1.37228,1.45286,
0.25,1.28284,0.862738,7.11236,7.44679,18.4012,19.5862,-11.4236,-39.0965,1.74517,0.813486,0,0,0,0.225846,1.32105,1.25516,
0.26,1.25333,0.785999,6.92647,7.37973,18.4771,19.1999,-9.50856,-35.0876,1.64569,0.759626,0,0,0,0.213445,1.28284,1.10676,
